Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
15/04/1934,Martínez,visitante,derrota,1,2,Gimnasia y Esgrima (La Plata),4° fecha del Campeonato 1934,El Bosque (La Plata),Consolatto Nai Foino,Huracán,rival,foto,sin datos,45,90,0,0
22/04/1934,Martínez,local,empate,2,2,Talleres Lanús,5° fecha del Campeonato 1934,La Quema,Domingo Solari,Huracán,rival,foto,sin datos,45,90,0,0
29/04/1934,Martínez,visitante,derrota,1,4,Independiente,6° fecha del Campeonato 1934,Doble Visera,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
06/05/1934,Martínez,visitante,empate,1,1,Estudiantes (La Plata),7° fecha del Campeonato 1934,Uno (La Plata),Alberto Neme,Huracán,rival,foto,sin datos,45,90,0,0
13/05/1934,Martínez,local,victoria,3,1,Platense,8° fecha del Campeonato 1934,La Quema,Celestino Destaillats,Huracán,rival,foto,sin datos,45,90,0,0
20/05/1934,Martínez,visitante,derrota,1,3,Racing Club,9° fecha del Campeonato 1934,Racing,Domingo Solari,Huracán,rival,foto,sin datos,45,90,0,0
25/05/1934,Martínez,local,victoria,1,0,Ferro C. Oeste,10° fecha del Campeonato 1934,La Quema,Consolatto Nai Foino,Huracán,rival,foto,sin datos,45,90,0,0
10/06/1934,De los Santos,visitante,derrota,0,4,River Plate,11° fecha del Campeonato 1934,River,José Galli,Huracán,rival,foto,sin datos,45,90,0,0
17/06/1934,De los Santos,local,victoria,3,1,Atlanta Argentinos,12° fecha del Campeonato 1934,La Quema,Enrique Liñeyro,Huracán,rival,foto,sin datos,45,90,0,0
24/06/1934,De los Santos,local,empate,0,0,Vélez Sarsfield,13° fecha del Campeonato 1934,La Quema,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
01/07/1934,De los Santos,visitante,derrota,0,2,Boca Juniors,14° fecha del Campeonato 1934,Boca Juniors,Domingo Solari,Huracán,rival,foto,sin datos,45,90,0,0
08/07/1934,De los Santos,local,empate,1,1,Chacarita Juniors,15° fecha del Campeonato 1934,La Quema,José Galli,Huracán,rival,foto,sin datos,45,90,0,0
15/07/1934,De los Santos,visitante,derrota,1,5,San Lorenzo de Almagro,16° fecha del Campeonato 1934,Gasómetro,José Galli,Huracán,rival,foto,sin datos,45,90,0,0
22/07/1934,De los Santos,local,derrota,2,3,Gimnasia y Esgrima (La Plata),17° fecha del Campeonato 1934,La Quema,Domingo Solari,Huracán,rival,foto,sin datos,45,90,0,0
29/07/1934,De los Santos,visitante,empate,1,1,Talleres Lanús,18° fecha del Campeonato 1934,Talleres,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
05/08/1934,De los Santos,local,derrota,0,2,Independiente,19° fecha del Campeonato 1934,La Quema,Enrique Liñeyro,Huracán,rival,foto,sin datos,45,90,0,0
